Ticker,Total Revenue,Net Income,Net income to total revenue ratio,Market Cap,Free Cash Flow,EPS
AMP,16283000000.0,3068000000.0,0.1884173678069151,44129931264,4501000000.0,29.21
AZO,17975506000.0,2625060000.0,0.1460353883779405,54745636864,2144131000.0,144.37
BKNG,22399000000.0,5030000000.0,0.2245635965891334,131054592000,6999000000.0,142.43
BLK,18686000000.0,6047000000.0,0.3236112597666702,133583314944,3821000000.0,40.27
BRK-A,402877000000.0,67857000000.0,0.1684310596037996,1027878944768,29787000000.0,47209.06
BRK-B,402877000000.0,67857000000.0,0.1684310596037996,1025498152960,29787000000.0,31.47
CAT,66368000000.0,11007000000.0,0.1658479990356798,172672172032,9793000000.0,21.94
CB,53833000000.0,9716000000.0,0.1804840896847658,114789965824,12632000000.0,23.63
CHRD,4433993000.0,923423000.0,0.2082599138068102,9184788480,914178000.0,20.55
CHTR,54659000000.0,4650000000.0,0.0850729065661647,50192424960,3490000000.0,31.33
COKE,6730953000.0,506482000.0,0.0752466998358181,11623224320,528386000.0,54.02
DDS,6833322000.0,717390000.0,0.1049840765589562,5502737408,750646000.0,40.53
DE,54848000000.0,8224000000.0,0.1499416569428238,105538461696,4121000000.0,29.33
DECK,4437319000.0,811636000.0,0.182911348045971,24376133632,943819000.0,31.25
EG,15777000000.0,2939000000.0,0.1862838308930721,16973597696,4553000000.0,68.0
FCNCA,9773000000.0,2704000000.0,0.2766806507725365,29143388160,1232000000.0,181.86
GWW,16752000000.0,1819000000.0,0.1085840496657115,48089407488,1586000000.0,36.49
HCA,68347000000.0,5738000000.0,0.0839539409191332,102091489280,4687000000.0,21.31
JXN,4360000000.0,2284000000.0,0.5238532110091743,6769433088,5310000000.0,27.75
KLAC,9812247000.0,2761896000.0,0.2814743656575298,110151868416,3031191000.0,20.31
LMT,71069000000.0,6736000000.0,0.0947811281993555,135411171328,6229000000.0,27.56
LRCX,14905386000.0,3827772000.0,0.2568046208263241,107040825344,4255599000.0,29.01
MELI,17427000000.0,1399000000.0,0.0802777299592586,104520794112,4631000000.0,27.64
MKL,16204273000.0,2104782000.0,0.1298905541766668,20721442816,2528188000.0,153.95
MLM,6617300000.0,2038200000.0,0.3080108201230109,32646307840,878100000.0,33.24
MTD,3750153000.0,785748000.0,0.2095242514105424,30536124416,860551000.0,36.4
MTH,6457707000.0,838182000.0,0.1297956070165462,7195329024,317380000.0,22.74
NEU,2717464000.0,411009000.0,0.1512472658331444,5504812544,528530000.0,42.84
NVR,9966125000.0,1638405000.0,0.1643973961795582,28229070848,1473116000.0,483.75
ORLY,16283836000.0,2372417000.0,0.1456915311601025,66046517248,2027820000.0,39.77
PH,19929606000.0,2844215000.0,0.1427130571472411,77183320064,2984217000.0,21.86
REGN,13489100000.0,4321700000.0,0.3203846068307003,129877557248,3667600000.0,37.73
RNR,10451261000.0,2665889000.0,0.2550782149637254,13427483648,1911634000.0,51.91
SMCI,9634662000.0,855422000.0,0.0887858857944367,25630181376,626787000.0,20.07
TDG,7606000000.0,1661000000.0,0.21838022613726,77052731392,1236000000.0,27.1
THC,20916000000.0,2755000000.0,0.1317173455727672,15891120128,1623000000.0,27.46
ULTA,11321166000.0,1209521000.0,0.1068371402733605,17539569664,1040999000.0,24.92
URI,14751000000.0,2560000000.0,0.1735475560978916,49023897600,634000000.0,37.84
UTHR,2616700000.0,1069400000.0,0.40868269194023,16174775296,747600000.0,21.76
