Ticker,Total Revenue,Net Income,Net income to total revenue ratio,Market Cap,Free Cash Flow,EPS
A,6591000000.0,1242000000.0,0.1884387801547564,41093783552,1474000000.0,4.81
AA,10702000000.0,-550000000.0,-0.0513922631283872,8388307456,-440000000.0,-3.07
AACG,242948549.0,-33397524.0,-0.1374674767042959,18920790,6511372.0,-0.15
AADI,23817000.0,-65443000.0,-2.7477432086324893,44552788,-63635000.0,-2.43
AAGR,1313170.0,-31748722.0,-24.177160611345062,7696284,-3983542.0,-0.8
AAL,53448000000.0,-121000000.0,-0.0022638826522975,6974196224,1207000000.0,-0.18
AAMC,-19347000.0,101192000.0,-5.23037163384504,3193137,-11789000.0,40.42
AAME,188444000.0,821000.0,0.0043567319734244,32639680,,-0.17
AAN,2069779000.0,-42576000.0,-0.0205703120961223,318347584,85999000.0,-1.39
AAOI,206943000.0,-72096000.0,-0.3483857873907308,464166208,-17596000.0,-1.88
AAON,1194273000.0,186371000.0,0.1560539340670014,7737570816,49404000.0,2.23
AAP,11273255000.0,-24140000.0,-0.0021413513665751,2753969152,44964000.0,-0.21
AAPL,385603000000.0,101956000000.0,0.2644066565872153,3481738936320,99584000000.0,6.57
AAT,445274000.0,68544000.0,0.1539366771920211,2100514560,105771000.0,0.89
AB,363264000.0,326934000.0,0.8999900898520085,3947478272,293975000.0,2.87
ABBV,55000000000.0,5339000000.0,0.0970727272727272,346750189568,22062000000.0,2.99
ABCB,1063644000.0,311146000.0,0.2925283271470529,4256599296,551428000.0,4.5
ABCL,33055000.0,-153300000.0,-4.6377250037815765,754344896,-121384000.0,-0.53
ABEV,80627540000.0,14395927000.0,0.1785485083632714,36954693632,18707300000.0,0.16
ABG,15925400000.0,399900000.0,0.0251108292413377,4907911680,170700000.0,19.67
ABL,95379763.0,-5897784.0,-0.0618347520951588,762189760,-64712823.0,-0.14
ABM,8208900000.0,249400000.0,0.03038165893116,3586939904,190700000.0,2.42
ABNB,10505000000.0,4844000000.0,0.461113755354593,73753141248,3884000000.0,7.35
ABR,683140000.0,316220000.0,0.462891940158679,2564266240,235857000.0,1.44
ABSI,3250000.0,-92264000.0,-28.38892307692308,499646400,-65496000.0,-0.93
ABT,40725000000.0,5557000000.0,0.136451810926949,197078466560,5059000000.0,3.17
ABUS,10061000.0,-77087000.0,-7.661962031607196,730586304,-86944000.0,-0.45
ABVC,136396.0,-11374071.0,-83.39006275843866,8388441,-4257046.0,-1.66
ABVE,218407140.0,-33708894.0,-0.1543397070260615,20691000,3497916.0,-1.52
AC,13442000.0,33132000.0,2.46481178396072,708949120,145075000.0,1.54
ACA,2437200000.0,147400000.0,0.0604792384703758,4463247872,57500000.0,3.02
ACAD,890534000.0,30565000.0,0.0343221033671931,2750224128,-23348000.0,0.19
ACB,278683000.0,-37512000.0,-0.1346045506902107,333151776,-85464000.0,-0.46
ACCD,431532000.0,-88988000.0,-0.2062141393917484,347236480,-28651000.0,-1.16
ACCO,1733800000.0,-176000000.0,-0.1015111316184104,524971936,114900000.0,-1.84
ACDC,2224200000.0,-181700000.0,-0.0816922938584659,1097006976,286500000.0,-1.43
ACEL,1195795000.0,48440000.0,0.0405086156071902,963521728,50786000.0,0.57
ACGL,15020000000.0,5446000000.0,0.3625832223701731,42528395264,5697000000.0,14.22
ACGLO,15020000000.0,5446000000.0,0.3625832223701731,13527665664,5697000000.0,4.691
ACHC,3057225000.0,-5116000.0,-0.0016734129807259,7608609792,38207000.0,-0.08
ACI,79452900000.0,1119500000.0,0.0140901087310847,11362610176,628200000.0,1.92
ACIC,258788000.0,67505000.0,0.2608505803978546,540675072,-136199000.0,1.51
ACIU,15488000.0,-60509000.0,-3.9068310950413223,319577184,-61209000.0,-0.76
ACIW,1529076000.0,183663000.0,0.1201137157342081,5270526464,130740000.0,1.7
ACLS,1111498000.0,239448000.0,0.2154281879049714,3566082304,136213000.0,7.26
ACLX,144745000.0,-53892000.0,-0.3723237417527376,3695166720,186145000.0,-1.04
ACM,15837389000.0,255191000.0,0.0161131989622784,13425469440,590380000.0,2.71
ACMR,693561000.0,85022000.0,0.1225876310807557,1126973312,-139661000.0,1.25
ACN,64475845000.0,6953449000.0,0.1078457986863142,214192013312,8996096000.0,10.92
ACNB,104142000.0,31188000.0,0.2994757158495131,359087392,39434000.0,3.66
ACNT,150412000.0,-24351000.0,-0.1618953275004654,104385664,2183000.0,-2.61
ACON,53947.0,-5900536.0,-109.37653623000352,1892069,-3766469.0,-4.13
ACR,91990000.0,25873000.0,0.2812588324817915,121641400,45609000.0,0.82
ACRE,9925000.0,-48677000.0,-4.90448362720403,384902016,46789000.0,-0.9
ACRS,32016000.0,-58679000.0,-1.8328023488255871,84186624,-79634000.0,-0.82
ACT,1185646000.0,666164000.0,0.5618574178127367,5535063552,632038000.0,4.16
ACTG,152553000.0,67760000.0,0.4441735003572529,482803744,-28695000.0,0.75
ACU,192706947.0,19447160.0,0.1009157184146558,162911232,23924042.0,5.08
ACVA,543704000.0,-79013000.0,-0.1453235584067801,3116823808,-46055000.0,-0.49
ADAP,141459000.0,-72500000.0,-0.5125159940336069,324796128,-145760000.0,-0.36
ADBE,20429000000.0,5079000000.0,0.2486171618777228,254693376000,6942000000.0,11.8
ADC,583005000.0,187060000.0,0.3208548811759762,7371965952,391598000.0,1.79
ADCT,66746000.0,-216660000.0,-3.2460372157133013,280277472,-121902000.0,-2.54
ADEA,359019000.0,46213000.0,0.1287202070085427,1372177792,146412000.0,0.41
ADGM,164000.0,-27149794.0,-165.5475243902439,68946144,-25992000.0,-2.76
ADI,9700436000.0,1655631000.0,0.1706759366280031,116596416512,3556171000.0,3.32
ADM,88768000000.0,2601000000.0,0.0293010994953136,29161881600,2966000000.0,5.02
ADMA,330244275.0,34788522.0,0.1053417867728365,4034666752,3819000.0,0.14
ADN,4859000.0,-71397000.0,-14.693764149001852,7909530,-36741000.0,-37.24
ADNT,14855000000.0,74000000.0,0.0049814877145742,1972235648,415000000.0,0.75
ADP,19202700000.0,3752000000.0,0.1953891900618142,112514719744,3594200000.0,9.11
ADPT,168766000.0,-213470000.0,-1.2648874773354823,693118400,-167021000.0,-1.47
ADSK,4028000000.0,624000000.0,0.1549155908639523,55687520256,2025000000.0,4.88
ADT,4873609000.0,673580000.0,0.1382096922424429,6647225856,850838000.0,0.0
ADTN,949974000.0,-580133000.0,-0.610683029219747,442114560,-88725000.0,-7.15
ADTX,329739.0,-42993461.0,-130.3863388922754,2313396,-18591218.0,-34.38
ADUS,1114740000.0,68898000.0,0.0618063404919532,2407520768,102793000.0,4.2
ADV,3928168000.0,-113051000.0,-0.0287795735823926,1240481920,192724000.0,-0.56
ADXN,1345541.0,-11236197.0,-8.350690911685337,11608036,-7999253.0,-19.84
AE,2849908000.0,-1343000.0,-0.0004712432822392,61624800,18378000.0,-0.52
AEE,7187000000.0,1170000000.0,0.1627939334910254,22015070208,-1207000000.0,4.43
AEG,26655000000.0,-1185000000.0,-0.044456949915588,10114189312,748000000.0,-0.08
AEHR,66218000.0,33156000.0,0.5007097767978496,449604544,1007000.0,1.12
AEI,9220976.0,-57289417.0,-6.212945028812568,11145866,7449718.0,-6.3
AEIS,1507684000.0,90468000.0,0.0600046163519676,3996675328,147932000.0,2.46
AEM,7305495000.0,616803000.0,0.0844300078228785,40859811840,936483000.0,1.16
AENT,1110682000.0,-2555000.0,-0.0023003884100039,68256120,2563000.0,-0.06
AEO,5414891000.0,248032000.0,0.0458055388372545,4042529280,406273000.0,1.25
AEP,19523800000.0,2633300000.0,0.134876407256784,53360992256,-2494300000.0,5.0
AER,7763707000.0,3263472000.0,0.4203497118064863,19012390912,-970951000.0,15.18
AERT,50299000.0,-16761855.0,-0.3332442990914332,84234816,511000.0,-0.92
AES,12429000000.0,754000000.0,0.0606645747847775,12270561280,-4690000000.0,1.05
AESI,778939000.0,106801000.0,0.1371108649072648,3208379648,-66459000.0,1.17
AEVA,6540000.0,-156923000.0,-23.99434250764526,177039712,-124930000.0,-3.17
AEYE,32261000.0,-3452000.0,-0.1070022627940857,287592992,-1838000.0,-0.29
AFBI,30451000.0,5502000.0,0.1806837213884601,136841264,7344000.0,0.84
AFCG,51374155.0,15183397.0,0.2955454352485213,216177872,21228934.0,0.73
AFG,8000000000.0,891000000.0,0.111375,11211225088,1970000000.0,10.61
AFL,19435000000.0,5471000000.0,0.28150244404425,61804466176,3190000000.0,9.49
AFMD,3920000.0,-93130000.0,-23.757653061224488,67305224,-113998000.0,-5.8
AFRM,2322999000.0,-517757000.0,-0.2228830059763263,13692258304,290842000.0,-1.67
AFYA,3067474000.0,553012000.0,0.1802825386621044,1470144128,798195000.0,1.07
AG,514773000.0,-78732000.0,-0.1529450845324055,1689544064,-90367000.0,-0.26
AGAE,8212441.0,-6512724.0,-0.7930314506977889,48495332,-9185746.0,-0.16
AGBA,38900661.0,-45977964.0,-1.1819327183155062,207798416,-42387005.0,-0.65
AGCO,13431500000.0,420500000.0,0.0313070021963295,6795435520,585000000.0,5.6
AGEN,159629000.0,-223458000.0,-1.3998584217153525,111095288,-234156000.0,-11.14
AGFY,11590000.0,-253000.0,-0.0218291630716134,3341297,-31033000.0,0.6
AGI,1121000000.0,198700000.0,0.1772524531668153,8093108224,123800000.0,0.5
AGIO,31306000.0,-364931000.0,-11.65690283012841,2611962112,-314561000.0,-6.5
AGL,5118276000.0,-298615000.0,-0.0583428873315936,1678850688,-187014000.0,-0.54
AGM,365633000.0,206607000.0,0.5650666105083513,2082518656,375798000.0,16.38
AGM-A,365633000.0,206607000.0,0.5650666105083513,2066815744,375798000.0,16.38
AGNC,514000000.0,415000000.0,0.8073929961089494,8059518464,-118000000.0,0.38
AGNCM,514000000.0,415000000.0,0.8073929961089494,8940699648,-118000000.0,-1.86
AGNCN,514000000.0,415000000.0,0.8073929961089494,8764869632,-118000000.0,-1.86
AGO,846000000.0,720000000.0,0.851063829787234,4215058944,461000000.0,12.21
AGR,8596000000.0,976000000.0,0.1135411819450907,13812385792,-2053000000.0,2.52
AGRI,57596.0,-15045984.0,-261.2331411903604,5559066,-6505072.0,-1.71
AGRO,1322932000.0,215367000.0,0.1627952154759277,1128095616,191482000.0,2.02
AGS,376241000.0,4696000.0,0.0124813616804122,455495264,24278000.0,0.11
AGX,627340000.0,38131000.0,0.0607820320719227,1059129472,114102000.0,3.19
AGYS,244915000.0,98753000.0,0.4032133597370516,3153431552,40059000.0,3.63
AHCO,3249902000.0,-691278000.0,-0.2127073370212394,1477825280,143203000.0,-5.22
AHH,735262000.0,8960000.0,0.0121861322902584,1102205440,93314000.0,-0.04
AHR,1949841000.0,-35327000.0,-0.0181178875610883,2780843520,-1256000.0,-0.52
AHT,1283276000.0,28856000.0,0.0224861993834529,51247116,13791000.0,-2.11
AI,310582000.0,-279696000.0,-0.9005544429490441,2960422400,-90368000.0,-2.28
AIFF,222479.0,-1367745.0,-6.147748776288998,28778250,-2892000.0,-0.3
AIG,42048000000.0,-641000000.0,-0.0152444824961948,49616424960,6243000000.0,5.25
AIHS,5842114.0,-3914566.0,-0.6700598447753673,12253470,-664438.0,-0.42
AILE,236783000.0,-321860875.0,-1.3593073615926818,196230464,-8943000.0,0.06
AIM,178000.0,-20378000.0,-114.48314606741572,20563500,-16379000.0,-0.57
AIMD,65122.0,-15410179.0,-236.63553023555787,5149062,-4787652.0,-3.21
AIN,1250014000.0,109474000.0,0.0875782191239458,2942170624,63627000.0,3.5
AIOT,178017000.0,-38294000.0,-0.2151142868377739,536814208,-2696000.0,-0.47
AIP,53300000.0,-36441000.0,-0.6836960600375235,336826784,-17232000.0,-0.98
AIR,2318900000.0,46300000.0,0.0199663633619388,2358212864,13900000.0,1.29
AIRE,183959.0,-2307180.0,-12.541816382998386,56733696,-5414504.0,-0.05
AIRG,53181000.0,-12333000.0,-0.2319061318892085,86795520,-3647000.0,-1.17
AIRI,53395000.0,-1526000.0,-0.0285794550051502,18220238,2743000.0,-0.46
AIRS,193025000.0,-3418000.0,-0.017707550835384,241310896,14037000.0,-0.06
AIRT,281813000.0,-6623000.0,-0.0235013998644491,62735936,16102000.0,-2.35
AIRTP,281813000.0,-6623000.0,-0.0235013998644491,415898304,16102000.0,0.336
AISP,22684661.0,-18317929.0,-0.8075028760623754,73818960,-2902659.0,0.42
AIT,4479406000.0,385762000.0,0.0861190077434374,7868136448,346529000.0,9.84
AIV,198404000.0,-224471000.0,-1.1313834398500031,1316963712,-222030000.0,-1.57
AIZ,11562200000.0,797700000.0,0.0689920603345384,10169614336,935600000.0,15.0
AJG,10961400000.0,1140300000.0,0.104028682467568,64102088704,1838100000.0,5.13
AJX,-84339000.0,-114911000.0,1.362489476991665,146856144,-46464000.0,-3.63
AKA,555516000.0,-95487000.0,-0.1718888384853001,234305456,27395000.0,-8.95
AKAM,3927051000.0,628813000.0,0.1601234616000658,15431407616,618399000.0,4.03
AKBA,174497000.0,-40442000.0,-0.2317632967902027,325946400,-23384000.0,-0.21
AKO-A,1939960936000.0,147601158000.0,0.0760846031798652,2568310016,174122738000.0,1.4
AKO-B,1939960936000.0,147601158000.0,0.0760846031798652,2696511744,174122738000.0,1.4
AKR,345515000.0,1949000.0,0.0056408549556459,2523100928,155758000.0,0.01
AKTS,29862000.0,-76913000.0,-2.5756144933360123,8820855,-56206000.0,-1.0
AKYA,93216000.0,-60351000.0,-0.647431771369722,126223720,-54552000.0,-1.17
AL,2706530000.0,564313000.0,0.2085005523677919,5153413632,-2781031000.0,4.66
ALAB,170460000.0,-137999000.0,-0.8095682271500645,6745650176,-15477000.0,-0.57
ALAR,31117000.0,3953000.0,0.1270366680592602,92349376,4672000.0,1.3
ALB,7457882000.0,-500897000.0,-0.0671634386277498,10771878912,-823960000.0,-4.72
ALBT,1295086.0,-14539748.0,-11.226859065729998,3928916,-6526877.0,-1.34
ALC,9636000000.0,1102000000.0,0.114362806143628,48500367360,537000000.0,2.22
ALCE,15888000.0,-20323000.0,-1.2791414904330312,19588104,-7601000.0,-0.76
ALCO,46388000.0,26037000.0,0.5612874019142882,223522080,-22910000.0,3.41
ALE,1539300000.0,221100000.0,0.1436367179886961,3670285824,314100000.0,3.84
ALEC,55275000.0,-160664000.0,-2.9066304839439168,513855456,-186543000.0,-1.81
ALEX,217649000.0,40190000.0,0.1846551098328042,1437185536,45400000.0,0.72
ALG,1679075000.0,126882000.0,0.0755666066137605,2235923968,93409000.0,10.56
ALGM,937993000.0,74172000.0,0.0790752169792311,4511140864,56943000.0,0.38
ALGN,3942861000.0,447033000.0,0.1133778238695201,17719646208,608060000.0,5.88
ALGS,7967000.0,-75735000.0,-9.506087611397012,40526548,-79016000.0,-14.5
ALGT,2499050000.0,-14242000.0,-0.0056989656069306,769929408,-105228000.0,-0.87
ALHC,2231983000.0,-152787000.0,-0.0684534783643065,1723613056,-95182000.0,-0.8
ALIM,99681000.0,-14697000.0,-0.1474403346675896,300744640,-89793000.0,1.05
ALIT,2870000000.0,-301000000.0,-0.1048780487804878,4155712256,226000000.0,-0.63
ALK,7968000000.0,227000000.0,0.0284889558232931,4555601408,-253000000.0,1.76
ALKS,1507916000.0,288723000.0,0.1914715408550608,4684804608,353305000.0,2.28
ALKT,297359000.0,-51939000.0,-0.1746676576125155,3300173312,-23794000.0,-0.54
ALL,60302000000.0,3033000000.0,0.0502968392424795,49887903744,3961000000.0,10.96
ALLE,3674800000.0,554100000.0,0.1507837161206052,12096864256,516400000.0,6.29
ALLG,145453000.0,-109896000.0,-0.7555430276446687,496916448,-114229000.0,-0.46
ALLO,21000.0,-281930000.0,-13425.238095238095,549964608,-239249000.0,-1.59
ALLT,91031000.0,-36576000.0,-0.4017971899682526,128587824,-32225000.0,-0.97
ALLY,8825000000.0,823000000.0,0.0932577903682719,13158782976,1904000000.0,2.32
ALNT,569061000.0,19065000.0,0.0335025594795637,357768672,33435000.0,1.16
ALNY,2344406000.0,-72941000.0,-0.0311127850722101,36846477312,41945000.0,-0.55
ALOT,145627000.0,5027000.0,0.0345196975835525,111876912,11479000.0,0.67
ALPP,104197850.0,-56839806.0,-0.5454988370681353,10603051,-20645353.0,-2.24
ALRM,905181000.0,107934000.0,0.1192402403497201,2944580608,121790000.0,2.01
ALRS,167960000.0,7046000.0,0.0419504643962848,444011616,25809000.0,0.36
ALSN,2341000000.0,514000000.0,0.2195642887654848,8082040832,,7.7
ALT,409000.0,-101346000.0,-247.78973105134477,476175680,-75857000.0,-1.63
ALTG,1917400000.0,-18300000.0,-0.0095441744028371,223043440,-10800000.0,-0.64
ALTI,241217000.0,-113953000.0,-0.4724086610811012,562100544,-82336000.0,-2.04
ALTM,908900000.0,226400000.0,0.2490923093849708,2914333952,-29800000.0,0.34
ALTO,1068849000.0,-37265000.0,-0.0348646066937425,105552200,-7506000.0,-0.53
ALTR,627213000.0,26713000.0,0.0425899973374276,7670317056,117114000.0,0.32
ALTS,2169000.0,-19574000.0,-9.024435223605348,32514034,1463000.0,-4.28
ALUR,47587000.0,-37386000.0,-0.7856347321747537,42418532,-65588000.0,-0.78
ALV,10567000000.0,625000000.0,0.0591463991672187,8205777408,409000000.0,7.48
ALVO,306769000.0,-618381000.0,-2.0157871232099724,3526705920,-358658000.0,-2.65
ALX,233137000.0,51529000.0,0.2210245477980758,1170386560,109111000.0,10.04
ALYAF,480405000.0,-12177000.0,-0.0253473631623317,127181352,14882000.0,-0.09
AM,865689000.0,287783000.0,0.3324323169175073,7156350976,595064000.0,0.8
AMAL,299207000.0,99004000.0,0.330887980561952,1010932416,115747000.0,3.22
AMAT,26854000000.0,7450000000.0,0.2774260817755269,162621915136,7594000000.0,8.9
AMBA,218805000.0,-171447000.0,-0.7835607047370947,2446816512,7047000.0,-4.33
AMBC,354000000.0,71000000.0,0.2005649717514124,555059712,200000000.0,1.61
AMBI,2801192000.0,73564000.0,0.0262616771717183,328712256,-161810000.0,0.26
AMBO,2728000.0,-1001000.0,-0.3669354838709677,3687293,-290000.0,-1.2
AMBP,4826000000.0,-49000000.0,-0.0101533360961458,2139658624,237000000.0,-0.12
AMC,4492300000.0,-366000000.0,-0.0814727422478463,1741731200,-444800000.0,-1.2
AMCR,13640000000.0,730000000.0,0.0535190615835777,16534689792,829000000.0,0.5
AMCX,2538197000.0,58184000.0,0.0229233585887935,434366304,168712000.0,1.3
AMD,23276000000.0,1354000000.0,0.0581715071318095,240441376768,1121000000.0,0.84
AME,6824736000.0,1331860000.0,0.1951518710760386,39604232192,1599047000.0,5.74
AMED,2289626000.0,91983000.0,0.0401738100458328,3208906240,124475000.0,2.81
AMG,2028000000.0,638900000.0,0.3150394477317554,5182567424,861900000.0,17.18
AMGN,30934000000.0,3130000000.0,0.1011831641559449,179376537600,7359000000.0,5.81
AMH,1677403000.0,366105000.0,0.2182570318522144,16355690496,604513000.0,0.97
AMK,737462000.0,143298000.0,0.1943123849093241,2630344960,130347000.0,1.92
AMKR,6400589000.0,375970000.0,0.0587399065929713,8106198016,520553000.0,1.52
AMLX,298762000.0,-165869000.0,-0.5551877414128972,151143136,10678000.0,-2.46
AMN,3233295000.0,99228000.0,0.0306894360087774,2015240704,266778000.0,2.66
AMP,16283000000.0,3068000000.0,0.1884173678069151,44129931264,4501000000.0,29.21
AMPG,12281173.0,-7591905.0,-0.6181742574589577,8067276,-4161007.0,-0.79
AMPH,712891000.0,166515000.0,0.2335770826115072,2386427392,145337000.0,3.15
AMPL,287964000.0,-81165000.0,-0.2818581489352836,1088528384,22447000.0,-0.67
AMPS,172390000.0,23357000.0,0.1354892975230582,499168768,-77365000.0,0.13
AMPX,12423000.0,-40629000.0,-3.270466070997343,118824576,-43103000.0,-0.45
AMPY,311557000.0,27898000.0,0.0895438073931896,283364736,110212000.0,0.66
AMR,3369852000.0,455734000.0,0.1352385802106442,3112776448,605786000.0,34.08
AMRC,1512905000.0,57073000.0,0.0377241135431504,1571028224,-621758000.0,1.07
AMRK,10293439000.0,79440000.0,0.0077175373555912,892210368,-40106000.0,2.75
AMRN,264779000.0,-33523000.0,-0.1266074726469999,257187472,6347000.0,-0.09
AMRX,2597992000.0,-174616000.0,-0.0672119082737745,2680642304,276388000.0,-0.79
AMS,23104000.0,4254000.0,0.1841239612188365,19843200,-555000.0,0.66
AMSC,155675000.0,-8237000.0,-0.0529115143728922,774341056,1204000.0,-0.25
AMSF,309130000.0,57060000.0,0.1845825380907708,955703168,29289000.0,2.97
AMST,262036.0,-4170700.0,-15.9165152879757,5771339,-3645209.0,-1.64
AMSWA,105782000.0,11373000.0,0.1075135656349851,383059712,16244000.0,0.27
AMT,11339700000.0,2489500000.0,0.2195384357610871,104654389248,2924300000.0,5.34
AMTB,334260000.0,20527000.0,0.0614102794232034,743770560,15788000.0,0.61
AMTX,278649000.0,-48136000.0,-0.1727477938194646,116103640,-19294000.0,-1.06
AMWD,1808375000.0,107999000.0,0.0597215732356397,1388713088,139702000.0,6.76
AMWL,254911000.0,-307026000.0,-1.2044439039507906,124425304,-163591000.0,-21.08
AMX,813375844000.0,32491617000.0,0.0399466215276489,51134464000,91753389000.0,0.52
AMZN,604334000000.0,44419000000.0,0.0735007462760658,1873464524800,32217000000.0,4.19
AN,26626200000.0,780200000.0,0.0293019657329998,7062104064,313700000.0,18.36
ANAB,30473000.0,-170115000.0,-5.582482853673744,1150310400,-121607000.0,-6.35
ANDE,12362113000.0,102451000.0,0.0082874990707494,1736471424,796307000.0,2.97
ANET,6311667000.0,2462083000.0,0.3900844261904185,111015387136,1999580000.0,7.71
ANF,4465413000.0,425402000.0,0.0952659921937791,7541609472,495625000.0,9.44
ANGI,1211797000.0,-8787000.0,-0.0072512145186033,1346406272,46404000.0,0.0
